hash,category,notes,classified_at
66a1b371fd2438b1c85a7d1dea7406b4,Inter-company Loan,VRP routing UK Ltd -> FZCO savings,2026-04-22
73421eb949843042bd3cfa10743bf089,Inter-company Loan,VRP routing UK Ltd -> FZCO savings,2026-04-22
c3bf2b1edc388ff8a9edcec4b9c2604f,Inter-company Loan,VRP routing UK Ltd -> FZCO savings,2026-04-22
1e1375eb0e846cad156976777353c582,Inter-company Loan,,2026-04-22
e7e140bf913997e994ee59b28f798856,Inter-company Loan,,2026-04-22
d3a28b7b8e3a85b28aeb5b25c544af78,Inter-company Loan,,2026-04-23
dbe05e96be9f933576aae9618b3024a0,Inter-company Loan,,2026-04-23
