id,name,merchant_pattern,source_accounts,original_loan_amount,original_loan_date,opening_balance,opening_balance_date,archived,match_amounts,match_tolerance_pct,kind,interest_rate,fixed_rate_end_date,repayment_type,property_value_estimate,property_id
bathroom-loan-a,Bathroom Loan (A),Barclays Partner Finance,monzo-joint,9191.26,,9191.26,2024-06-03,,232.22,,,,,,,
bathroom-loan-b,Bathroom Loan (B),Barclays Partner Finance,monzo-joint,7917.04,,7917.04,2024-06-11,,192.66,,,,,,,
bounce-back-loan,Bounce Back Loan,0520A,barclays-current,50000,,30451.8,2024-12-12,,513,0.025,,,,,,
funding-circle,Funding Circle,FUNDING CIRCLE,barclays-current,18700,2023-11-09,24723.92,2023-12-03,,399.49,,,,,,,
mortgage-heath-park-road,53 Heath Park Road Mortgage,Coventry B,monzo-joint,449000,,428117,2024-03-14,,2200;3431.96,,mortgage,4.4,2029-06-30,repayment,630000,heath-park-road-53
mortgage-hunters-square,78 Hunters Square Mortgage,NatWest,monzo-joint,214757.15,,214757.15,2021-11-30,,801.35;1054.64;306.35,,mortgage,4.48,2028-04-30,interest-only,315553.21,hunters-square-78
mortgage-thorney-house,56 Thorney House Mortgage,NatWest,monzo-joint,121785.99,,121785.99,2021-11-30,,683.38;630.99;174.44,,mortgage,6.74,,interest-only,188085.56,thorney-house-56
novuna,Novuna Finance,NOVUNA,natwest,13228,,18455.66,2023-07-19,,390.71;412.71,,,,,,,
